datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,984,987,1011,Rumah Tangga,Laundry,Gantungan Baju
2023-05-31,Tokopedia,984,987,3760,Rumah Tangga,Laundry,Jaring Pakaian Mesin Cuci
2023-05-31,Tokopedia,984,985,997,Rumah Tangga,Kamar Tidur,Bantal Kepala
2023-05-31,Tokopedia,984,985,998,Rumah Tangga,Kamar Tidur,Guling
2023-05-31,Tokopedia,984,986,3722,Rumah Tangga,Kamar Mandi,Cermin Kamar Mandi
2023-05-31,Tokopedia,984,986,1131,Rumah Tangga,Kamar Mandi,Dispenser Odol
2023-05-31,Tokopedia,984,1654,1753,Rumah Tangga,Taman,Media Tanam
2023-05-31,Tokopedia,984,1654,3753,Rumah Tangga,Taman,Pemotong Rumput
2023-05-31,Tokopedia,984,992,3700,Rumah Tangga,Furniture,Bedside Table
2023-05-31,Tokopedia,984,992,3702,Rumah Tangga,Furniture,Cermin Badan
2023-05-31,Tokopedia,984,3697,3792,Rumah Tangga,Kebutuhan Rumah,Payung
2023-05-31,Tokopedia,984,3697,3786,Rumah Tangga,Kebutuhan Rumah,Pembatas Ruangan
2023-05-31,Tokopedia,984,3696,3727,Rumah Tangga,Ruang Tamu & Keluarga,Sarung Bantal Sofa
2023-05-31,Tokopedia,984,988,3777,Rumah Tangga,Kebersihan,Ember & Baskom
2023-05-31,Tokopedia,984,988,3773,Rumah Tangga,Kebersihan,High Pressure Cleaner
2023-05-31,Tokopedia,60,989,1025,Elektronik,Lampu,Senter
2023-05-31,Tokopedia,60,989,5229,Elektronik,Lampu,Smart Lamp
2023-05-31,Tokopedia,983,3439,3475,Dapur,Aksesoris Dapur,Timer Masak
2023-05-31,Tokopedia,984,3698,3811,Rumah Tangga,Travel,Travel Toiletries Kit
2023-05-31,Tokopedia,984,3698,3813,Rumah Tangga,Travel,Universal Travel Adaptor
2023-05-31,Tokopedia,984,991,1041,Rumah Tangga,Tempat Penyimpanan,Lainnya
2023-05-31,Tokopedia,984,991,3737,Rumah Tangga,Tempat Penyimpanan,Stand Hanger
2023-05-31,Tokopedia,984,987,1012,Rumah Tangga,Laundry,Jemuran Baju
2023-05-31,Tokopedia,984,987,3755,Rumah Tangga,Laundry,Jepit Jemuran
2023-05-31,Tokopedia,984,985,3717,Rumah Tangga,Kamar Tidur,Jepitan Sprei
2023-05-31,Tokopedia,984,985,3716,Rumah Tangga,Kamar Tidur,Kelambu
2023-05-31,Tokopedia,984,986,1005,Rumah Tangga,Kamar Mandi,Ember & Baskom
2023-05-31,Tokopedia,984,986,1003,Rumah Tangga,Kamar Mandi,Gantungan Handuk
2023-05-31,Tokopedia,984,1654,3752,Rumah Tangga,Taman,Penyiram Tanaman
2023-05-31,Tokopedia,984,1654,1656,Rumah Tangga,Taman,Pot Tanaman
2023-05-31,Tokopedia,984,992,3701,Rumah Tangga,Furniture,Kasur
2023-05-31,Tokopedia,984,992,1043,Rumah Tangga,Furniture,Kursi
2023-05-31,Tokopedia,984,3697,3795,Rumah Tangga,Kebutuhan Rumah,Penahan Pintu
2023-05-31,Tokopedia,984,3697,3794,Rumah Tangga,Kebutuhan Rumah,Termometer Ruangan
2023-05-31,Tokopedia,984,988,1018,Rumah Tangga,Kebersihan,Kain Lap
2023-05-31,Tokopedia,984,988,3771,Rumah Tangga,Kebersihan,Kantong Sampah
